PrintISSN,EISSN,Title,Titles discontinued by Scopus due to quality issues
10746005,,Proceedings of the International Workshop on Rapid System Prototyping,
,,Proceedings of the International Workshop on Temporal Representation and Reasoning,
,,Proceedings of the ISOPE Ocean Mining Symposium,
,,Proceedings of the Joint Conference on Information Sciences,
,24146390,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",
,,Proceedings of the Mediterranean Electrotechnical Conference - MELECON,
,,Proceedings of the Middle East Oil Show,
,,Proceedings of the National Conference on Artificial Intelligence,
,,Proceedings of the National Symposium on Civil Engineering History,
,,"Proceedings of the National Technical Meeting, Institute of Navigation",
,,Proceedings of the SICE Annual Conference,
,,Proceedings of the SIGGRAPH/Eurographics Workshop on Graphics Hardware,
,,Proceedings of the SPE Asia Pacific Conference on Integrated Modelling for Asset Management,
,,Proceedings of the SPE International Petroleum Conference and Exhibition of Mexico,
,,Proceedings of the SPE Latin American and Caribbean Petroleum Engineering Conference,
,,Proceedings of the SPE/ICoTA Coiled Tubing Roundtable Conf,
,,Proceedings of the SPE/ISRM Rock Mechanics in Petroleum Engineering Conference,
,,Proceedings of the Symposium on Interactive 3D Graphics,
,,Proceedings of the Symposium on Solid Modeling and Applications,
,,"Proceedings of the Technical Association of the Graphic Arts, TAGA",
,23791748,Proceedings of the Thermal and Fluids Engineering Summer Conference,
,,Proceedings of the TMS Fall Extraction and Processing Conference,
,,Proceedings of the TMS Fall Meeting,
,,Proceedings of the Watershed Management Symposium,
1610589,,Proceedings of The Western Snow Conference,
15244547,,"Proceedings of the Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises, WET ICE",
10844097,,"Proceedings of the Workshop on Parallel and Distributed Simulation, PADS",
,2369811X,Proceedings of the World Congress on Electrical Engineering and Computer Systems and Science,
,,Proceedings of the World Congress on Intelligent Control and Automation (WCICA),
842176,,Proceedings of the World Petroleum Congress,
968870,,"Proceedings, Annual Convention - Gas Processors Association",
7375921,5606543,"Proceedings, Annual Technical Conference - Society of Vacuum Coaters",
10636900,,Proceedings. The Computer Security Foundations Workshop III,
,,"Proceedings/STC, Society for Technical Communication Annual Conference",
10928138,,"Program Comprehension, Workshop Proceedings",
16057422,,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,
25430955,25430963,Progress in Marine Science and Technology,
,,Progress in Water Resources,
,,"Record - IEEE PLANS, Position Location and Navigation Symposium",
903507,,Record of Conference Papers - Annual Petroleum and Chemical Industry Conference,
10874852,,"Records of the IEEE International Workshop on Memory Technology, Design and Testing",
,,Reverse Engineering - Working Conference Proceedings,
,,"Risk-Based Decision Making in Water Resources, Proceedings of the Conference",
1487191,26883627,SAE Technical Papers,
,,SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference Proceedings,
2784017,,Science and Technology Series,
,23434937,Scripta Instituti Donneriani Aboensis,
10523812,,SEG Technical Program Expanded Abstracts,
,,SIAM Proceedings Series,
10831312,,SID Conference Record of the International Display Research Conference,
978418,,"SIGCSE Bulletin (Association for Computing Machinery, Special Interest Group on Computer Science Education)",
,,"Society for Imaging Science and Technology: Image Processing, Image Quality, Image Capture, Systems Conference",
10930175,,"Software Engineering Education Conference, Proceedings",
5846099,,Space Congress Proceedings,
,,SPE - Asia Pacific Oil and Gas Conference,
,,SPE - DOE Improved Oil Recovery Symposium Proceedings,
,,"SPE - European Formation Damage Control Conference, Proceedings",
,,SPE Hydrocarbon Economics and Evaluation Symposium,
,,SPE International Formation Damage Control Symposium Proceedings,
,,SPE International Oilfield Chemistry Symposium Proceedings,
,,SPE International Thermal Operations and Heavy Oil Symposium Proceedings,
,,SPE Proceedings - Gas Technology Symposium,
,,SPE Western Regional/AAPG Pacific Section Joint Meeting,
,,SPE/EPA Exploration and Production Environmental Conference,
,,SPE/IADC Drilling Conference,
25111256,25111264,Springer Proceedings in Advanced Robotics,
21987246,21987254,Springer Proceedings in Business and Economics,
21941009,21941017,Springer Proceedings in Mathematics and Statistics,
9308989,18674941,Springer Proceedings in Physics,
7317735,,Steelmaking Conference Proceedings,
,,STLE Annual Meeting Preprints,
23644885,,Stuttgarter Symposium fur Produktentwicklung,
,,TAPPI Advanced Coating Fundamentals Symposium,
,,Tappi Coating and Graphic Arts Conference and Trade Fair,
,,TAPPI European PLACE Conference,
,,TAPPI Fall Technical Conference,
,,TAPPI PLACE Conference,
,,TAPPI Proceedings - Environmental Conference & Exhibit,
,,Technical Digest - GaAs IC Symposium (Gallium Arsenide Integrated Circuit),
1631918,,Technical Digest - International Electron Devices Meeting,
1611860,,Technical Paper - Society of Manufacturing Engineers. IQ,
,,Technische Akademie Esslingen International Tribology Colloquium Proceedings,
2856042,,Theoretical and Applied Mechanics,
,,Thermomechanical Phenomena in Electronic Systems -Proceedings of the Intersociety Conference,
,,TMS Annual Meeting,
1470809,,TMS Light Metals,
1935933,,Transactions - Geothermal Resources Council,
10473025,,Transactions of the North American Manufacturing Research Institute of SME,
23521457,23521465,Transportation Research Procedia,
,,UIST (User Interface Software and Technology): Proceedings of the ACM Symposium,
,27070476,University Library at a New Stage of Social Communications Development. Conference Proceedings,
23450533,,Vibroengineering Procedia,
,,Web3D Symposium Proceedings,
2750708,,Winter Simulation Conference Proceedings,
,26966999,World Congress in Computational Mechanics and ECCOMAS Congress,
23620935,,World Construction Symposium,
,26522926,ZEMCH International Conference,
