PrintISSN,EISSN,Title,Active or Inactive,Titles discontinued by Scopus due to quality issues,Source Type,Title history indication,Related title 1,Other related title 2,Other related title 3,Other related title 4,Publisher
2108984,,Boletin de la Asociacion Espanola de Entomologia,Active,,Journal,,,,,,Asociacion espanola de Entomologia
1134993X,23864893,Boletin de la Asociacion Internacional de Derecho Cooperativo,Active,,Journal,,,,,,Asociacion Internacional de Derecho Cooperativo
0373580X,18512372,Boletin de la Sociedad Argentina de Botanica,Active,,Journal,,,,,,Sociedad Argentina de Botanica
3663175,21730431,Boletin de la Sociedad Espanola de Ceramica y Vidrio,Active,,Journal,,,,,,Sociedad Espanola de Ceramica y Vidrio
16961897,,Boletin de la Sociedad Espanola de Espeleologia y Ciencias del Karst,Active,,Journal,,,,,,Sociedad Espanola de Espeleologia y Ciencias del Karst
14053322,,Boletin de la Sociedad Geologica Mexicana,Active,,Journal,,,,,,Sociedad Geologica Mexicana
1405213X,22964495,Boletin de la Sociedad Matematica Mexicana,Active,,Journal,,,,,,Birkhauser Verlag Basel
,21730695,Boletin de Literatura Oral,Active,,Journal,,,,,,"Universidad de Jaen, Departamento de Filologia Espanola"
16904648,,Boletin de Malariologia y Salud Ambiental,Active,,Journal,,,,,,"Instituto de Altos Estudios ""Dr. Arnoldo Gabaldon"""
5249767,18502563,"Boletín del Instituto de Historia Argentina y Americana ""Doctor Emilio Ravignani""",Active,,Journal,,,,,,Instituto de Historia Argentina y Americana Doctor Emilio Ravignani
7161530,7186894,Boletin del Museo Chileno de Arte Precolombino,Active,,Journal,,,,,,Museo Chileno de Arte Precolombino
2108143,,Boletin del Museo del Prado,Active,,Journal,,,,,,Museo Nacional del Prado
3660176,,Boletin Geologico y Minero,Active,,Journal,,,,,,Instituto Geologico y Minero de Espana
,7177917,Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas,Active,,Journal,,,,,,MS-Editions
5396115,16651146,Boletin Medico del Hospital Infantil de Mexico,Active,,Journal,,,,,,Hospital Infantil de Mexico Federico Gomez
418633,,Boletin Mexicano de Derecho Comparado,Active,,Journal,,,,,,Universidad Nacional Autonoma de Mexico
10742247,21565163,Bolivian Studies Journal,Active,,Journal,,,,,,"University Library System, University of Pittsburgh"
3944611,,Bollettino d'Arte,Active,,Journal,,,,,,Instituto Poligrafico e Zecca dello Stato
3757633,,Bollettino della Societa Paleontologica Italiana,Active,,Journal,,,,,,Societa Paleontologica Italiana
11276096,,Bollettino dell'Istituto Storico Italiano per il Medio Evo,Active,,Journal,,,,,,Istituto Storico Italiano per il Medio Evo
19726724,21982759,Bollettino dell'Unione Matematica Italiana,Active,,Journal,Formerly known as,Bollettino della Unione Matematica Italiana B,,,,Springer International Publishing AG
3924432,17241650,Bollettino di Storia delle Scienze Matematiche,Active,,Journal,,,,,,Fabrizio Serra Editore Srl
15937178,20352670,Bollettino Filosofico,Active,,Journal,,,,,,Universita degli Studi di Napoli
3916715,,Bollettino Storico - Bibliografico Subalpino,Active,,Journal,,,,,,Deputazione Subalpina di Storia Patria
87563282,,Bone,Active,,Journal,Incorporating,Metabolic Bone Disease and Related Research,Bone and Mineral,,,Elsevier Inc.
20494394,20494408,Bone and Joint Journal,Active,,Journal,Formerly known as,Journal of Bone and Joint Surgery - Series B,,,,British Editorial Society of Bone and Joint Surgery
,26331462,Bone and Joint Open,Active,,Journal,,,,,,British Editorial Society of Bone and Joint Surgery
,20463758,Bone and Joint Research,Active,,Journal,,,,,,British Editorial Society of Bone and Joint Surgery
2683369,14765365,Bone Marrow Transplantation,Active,,Journal,,,,,,Nature Publishing Group
,23521872,Bone Reports,Active,,Journal,,,,,,Elsevier Inc.
20954700,20956231,Bone Research,Active,,Journal,,,,,,Nature Publishing Group
21907307,,Bonn Zoological Bulletin,Active,,Journal,Formerly known as,Bonner Zoologische Monographien,,,,Zoologisches Forschungsmuseum Alexander Koenig
5240476,18538460,Bonplandia,Active,,Journal,,,,,,Instituto de Botanica del Nordeste
10987371,15291499,Book History,Active,,Journal,,,,,,Johns Hopkins University Press
67377,19186983,Bookbird: Journal of International Children's Literature,Active,,Journal,,,,,,IBBY - International Board of Books for Young People
23835222,26354829,Border Crossings,Active,,Journal,,,,,,"Global Institute for Japanese Studies, Korea University"
,20516673,Borderline Personality Disorder and Emotion Dysregulation,Active,,Journal,,,,,,BioMed Central Ltd
2105934,23406577,Bordon,Active,,Journal,,,,,,Sociedad Espanola de Pedagogia
12396095,,Boreal Environment Research,Active,,Journal,Formerly known as,Aqua Fennica,,,,Finnish Environment Institute
3009483,15023885,Boreas,Active,,Journal,,,,,,John Wiley and Sons Inc.
22299769,1282972,Borneo Journal of Resource Science and Technology,Active,,Journal,,,,,,Universiti Malaysia Sarawak
22148450,22148469,Borsa Istanbul Review,Active,,Journal,,,,,,Borsa Istanbul Anonim Sirketi
15128601,18404812,Bosnian Journal of Basic Medical Sciences,Active,,Journal,,,,,,Association of Basic Medical Sciences Federation of Bosnia and Herzegovina
3048799,7179200,Bosque,Active,,Journal,,,,,,Universidad Austral de Chile
23528206,23528214,"Boston Studies in Philosophy, Religion and Public Life",Active,,Book Series,,,,,,Springer Science and Business Media B.V.
680346,22147942,Boston Studies in the Philosophy and History of Science,Active,,Book Series,,,,,,Springer Science and Business Media B.V.
68047,,Boston University Law Review,Active,,Journal,,,,,,"Boston University, School of Law"
25388649,25388657,Botanica,Active,,Journal,,,,,,Nature Research Centre
2144565,19882874,Botanica Complutensis,Active,,Journal,,,,,,Biblioteca de la Universidad Complutense de Madrid
68055,14374323,Botanica Marina,Active,,Journal,,,,,,Walter de Gruyter GmbH
22264701,24103713,Botanica Pacifica,Active,,Journal,,,,,,Botanical Garden-Institute
18212158,18212638,Botanica Serbica,Active,,Journal,,,,,,University of Belgrade
244074,10958339,Botanical Journal of the Linnean Society,Active,,Journal,Formerly known as,"Journal of the Linnean Society of London, Botany",,,,Oxford University Press
20074298,20074476,Botanical Sciences,Active,,Journal,Formerly known as,Boletin de la Sociedad Botanica de Mexico,,,,"Sociedad Botanica de Mexico, A.C"
1817406X,,Botanical Studies,Active,,Journal,Formerly known as,Botanical Bulletin of Academia Sinica,,,,Springer International Publishing AG
68136,26586339,Botanicheskii Zhurnal,Active,,Journal,,,,,,Komarov Botanical Institute of the Russian Academy of Sciences
68144,24159662,Botanikai Kozlemenyek,Active,,Journal,,,,,,Magyar Biologiai Tarsasag (Hungarian Biological Society)
19162790,19162804,Botany,Active,,Journal,Formerly known as,Canadian Journal of Botany,,,,National Research Council of Canada
23818107,23818115,Botany Letters,Active,,Journal,Formerly known as,Acta Botanica Gallica,,,,Taylor and Francis Ltd.
68241,23119284,Bothalia,Active,,Journal,,,,,,South African National Biodiversity Institute
0888045X,,Bottom Line,Active,,Journal,,,,,,Emerald Group Publishing Ltd.
22145281,2214529X,Boundaries of Religious Freedom: Regulating Religion in Diverse Societies,Active,,Book Series,,,,,,Springer Science and Business Media B.V.
1903659,15272141,Boundary 2,Active,,Journal,,,,,,Duke University Press
16872762,16872770,Boundary Value Problems,Active,,Journal,,,,,,SpringerOpen
68314,15731472,Boundary-Layer Meteorology,Active,,Journal,,,,,,Springer Netherlands
23759240,23759267,Boyhood Studies,Active,,Journal,,,,,,Berghahn Journals
66761,,BPA Applied Psychology Bulletin,Active,,Journal,,,,,,Giunti Psychometrics
15384721,18731449,Brachytherapy,Active,,Journal,,,,,,Elsevier Inc.
0265086X,,Bradleya,Active,,Journal,,,,,,British Cactus and Succulent Society
68705,16784499,Bragantia,Active,,Journal,,,,,,Agronomic Institute of Campinas
68950,14602156,Brain,Active,,Journal,,,,,,Oxford University Press
21579032,21623279,Brain and Behavior,Active,,Journal,,,,,,John Wiley & Sons Inc.
2782626,10902147,Brain and Cognition,Active,,Journal,,,,,,Academic Press Inc.
3877604,18727131,Brain and Development,Active,,Journal,,,,,,Elsevier B.V.
0093934X,10902155,Brain and Language,Active,,Journal,,,,,,Academic Press Inc.
,23982128,Brain and Neuroscience Advances,Active,,Journal,,,,,,SAGE Publications Ltd
,26321297,Brain Communications,Active,,Journal,,,,,,Oxford University Press
21580014,21580022,Brain Connectivity,Active,,Journal,,,,,,Mary Ann Liebert Inc.
,2589238X,Brain Hemorrhages,Active,,Journal,,,,,,KeAi Communications Co.
19317557,19317565,Brain Imaging and Behavior,Active,,Journal,,,,,,Springer New York
14439646,18395252,Brain Impairment,Active,,Journal,,,,,,Commonwealth Scientific and Industrial Research Organisation
21984018,21984026,Brain Informatics,Active,,Journal,,,,,,Springer Berlin
2699052,1362301X,Brain Injury,Active,,Journal,,,,,,Informa Healthcare
,26665220,Brain Multiphysics,Active,,Journal,,,,,,Elsevier B.V.
10156305,17503639,Brain Pathology,Active,,Journal,,,,,,Wiley-Blackwell
68993,18726240,Brain Research,Active,,Journal,Incorporating,Cognitive Brain Research,Developmental Brain Research,Molecular Brain Research,Brain Research Protocols,Elsevier B.V.
3619230,18732747,Brain Research Bulletin,Active,,Journal,Incorporating,Journal of Electrophysiological Techniques,,,,Elsevier Inc.
,20763425,Brain Sciences,Active,,Journal,,,,,,Multidisciplinary Digital Publishing Institute (MDPI)
1935861X,18764754,Brain Stimulation,Active,,Journal,,,,,,Elsevier Inc.
18632653,18632661,Brain Structure and Function,Active,,Journal,Formerly known as,Anatomy and Embryology,,,,Springer Verlag
8960267,15736792,Brain Topography,Active,,Journal,,,,,,Kluwer Academic/Human Sciences Press Inc.
14337398,1861387X,Brain Tumor Pathology,Active,,Journal,Formerly known as,Noshuyo byori = Brain tumor pathology,,,,Springer Japan
68977,14219743,"Brain, Behavior and Evolution",Active,,Journal,,,,,,S. Karger AG
8891591,10902139,"Brain, Behavior, and Immunity",Active,,Journal,,,,,,Academic Press Inc.
,26663546,"Brain, Behavior, and Immunity - Health",Active,,Journal,,,,,,Elsevier Inc.
2326263X,23262621,Brain-Computer Interfaces,Active,,Journal,,,,,,Taylor and Francis Ltd.
69248,,Bratislava Medical Journal,Active,,Journal,,,,,,Comenius University in Bratislava
15168913,,Brazilian Archives of Biology and Technology,Active,,Journal,Formerly known as,Arquivos de Biologia e Technologia,,,,Instituto de Tecnologia do Parana
,18082386,Brazilian Business Review,Active,,Journal,,,,,,FUCAPE Business School
1036440,,Brazilian Dental Journal,Active,,Journal,,,,,,Associacao Brasileira de Divulgacao Cientifica
,21786011,Brazilian Dental Science,Active,,Journal,,,,,,"Universidade Estadual Paulista, Institute of Science and Technology of Sao Jose dos Campo"
,21783640,Brazilian English Language Teaching Journal,Active,,Journal,,,,,,Editora Universitaria da PUCRS
21793425,21793433,Brazilian Journal of Analytical Chemistry,Active,,Journal,,,,,,Visao Fokka Communication Agency
1040014,23522291,Brazilian Journal of Anesthesiology (English Edition),Active,,Journal,,,,,,Elsevier Editora Ltda
15196984,16784375,Brazilian Journal of Biology,Active,,Journal,Formerly known as,Revista Brasileira de Biologia,,,,Instituto Internacional de Ecologia
1027638,16789741,Brazilian Journal of Cardiovascular Surgery,Active,,Journal,,,,,,Sociedade Brasileira de Cirurgia Cardiovascular
1046632,,Brazilian Journal of Chemical Engineering,Active,,Journal,,,,,,Association Brasiliera de Eng. Quimica / Braz. Soc. Chem. Eng.
15167275,19816723,Brazilian Journal of Food Technology,Active,,Journal,,,,,,Instituto de Tecnologia de Alimentos - ITAL
23174889,23174692,Brazilian Journal of Geology,Active,,Journal,Formerly known as,Revista Brasileira de Geociencias,,,,Sociedade Brasileira de Geologia
14138670,16784391,Brazilian Journal of Infectious Diseases,Active,,Journal,,,,,,Elsevier Editora Ltda
2236997X,22371036,Brazilian Journal of International Law,Active,,Journal,,,,,,Centro Universitario de Brasilia
0100879X,1414431X,Brazilian Journal of Medical and Biological Research,Active,,Journal,Formerly known as,Revista brasileira de pesquisas medicas e biologicas,,,,Associacao Brasileira de Divulgacao Cientifica
15178382,16784405,Brazilian Journal of Microbiology,Active,,Journal,Formerly known as,Revista de Microbiologia,,,,Springer Nature
1012800,21758239,Brazilian Journal of Nephrology,Active,,Journal,,,,,,Sociedade Brasileira de Nefrologia
,25268910,Brazilian Journal of Occupational Therapy,Active,,Journal,,,,,,Universidade Federal de Sao Carlos
16798171,22378960,Brazilian Journal of Operations and Production Management,Active,,Journal,,,,,,Associacao Brasileira de Engenharia de Producao
16773225,16773217,Brazilian Journal of Oral Sciences,Active,,Journal,,,,,,Universidade Estadual de Campinas
18088694,18088686,Brazilian Journal of Otorhinolaryngology,Active,,Journal,,,,,,Elsevier Editora Ltda
19848250,21759790,Brazilian Journal of Pharmaceutical Sciences,Active,,Journal,Formerly known as,Revista Brasileira de Ciencias Farmaceuticas/Brazilian Journal of Pharmaceutical Sciences,,,,Faculdade de Ciencias Farmaceuticas (Biblioteca)
14133555,18099246,Brazilian Journal of Physical Therapy,Active,,Journal,,,,,,Revista Brasileira de Fisioterapia
1039733,,Brazilian Journal of Physics,Active,,Journal,,,,,,Springer New York
1013157,18094538,Brazilian Journal of Political Economy,Active,,Journal,,,,,,Centro de Economia Politica
1030752,,Brazilian Journal of Probability and Statistics,Active,,Journal,,,,,,Associacao Brasileira de Estatistica
19830246,,Brazilian Journal of Veterinary Pathology,Active,,Journal,,,,,,Brazilian Association of Veterinary Pathology
14139596,16784456,Brazilian Journal of Veterinary Research and Animal Science,Active,,Journal,,,,,,"Faculdade de Medicina Veterinaria e Zootecnia, USP"
18084079,19819854,Brazilian Journalism Research,Active,,Journal,,,,,,Associacao Brasileira de Pesquisadores de Jornalismo
1035355,23595922,Brazilian Neurosurgery,Active,,Journal,,,,,,Thieme Publishers Rio
15177491,,Brazilian Oral Research,Active,,Journal,Formerly known as,Revista de odontologia da Universidade de Sao Paulo / USP,,,,University of Sao Paolo
9609776,15323080,Breast,Active,,Journal,,,,,,Churchill Livingstone
13406868,,Breast Cancer,Active,,Journal,,,,,,Springer Japan
17581923,17581931,Breast Cancer Management,Active,,Journal,,,,,,Future Medicine Ltd.
14655411,1465542X,Breast Cancer Research,Active,,Journal,,,,,,BioMed Central Ltd
1676806,15737217,Breast Cancer Research and Treatment,Active,,Journal,,,,,,Springer New York
11782234,,Breast Cancer: Basic and Clinical Research,Active,,Journal,,,,,,Libertas Academica Ltd.
11791314,,Breast Cancer: Targets and Therapy,Active,,Journal,,,,,,Dove Medical Press Ltd.
16613791,16613805,Breast Care,Active,,Journal,,,,,,S. Karger AG
8886008,15581551,Breast Disease,Active,,Journal,,,,,,IOS Press BV
1075122X,15244741,Breast Journal,Active,,Journal,,,,,,Wiley-Blackwell Publishing Ltd
15568253,15568342,Breastfeeding Medicine,Active,,Journal,,,,,,Mary Ann Liebert Inc.
7292759,,Breastfeeding Review,Active,,Journal,,,,,,Australian Breastfeeding Association
18106838,20734735,Breathe,Active,,Journal,,,,,,European Respiratory Society
13447610,13473735,Breeding Science,Active,,Journal,,,,,,Japanese Society of Breeding
18665195,16132041,BrewingScience,Active,,Journal,,,,,,Fachverlag Hans Carl
24099058,24122343,BRICS Law Journal,Active,,Journal,,,,,,University of Tyumen
10034722,,Bridge Construction,Active,,Journal,,,,,,Wuhan Bridge Research Institute
15732487,17448999,Bridge Structures,Active,,Journal,,,,,,IOS Press
20421443,20421451,Bridging Tourism Theory and Practice,Active,,Book Series,,,,,,Emerald Group Publishing Ltd.
14675463,14774054,Briefings in Bioinformatics,Active,,Journal,,,,,,Oxford University Press
20412649,20412657,Briefings in Functional Genomics,Active,,Journal,Formerly known as,Briefings in Functional Genomics and Proteomics,,,,Oxford University Press
18725481,,Brill Classics in Islam,Active,,Book Series,,,,,,Brill Academic Publishers
18746691,,Brill Handbooks on Contemporary Religion,Active,,Book Series,,,,,,Brill Academic Publishers
15715000,,Brill Reference Library of Judaism,Active,,Book Series,,,,,,Brill Academic Publishers
18762557,,Brill Studies in Greek and Roman Epigraphy,Active,,Book Series,,,,,,Brill Academic Publishers
22145613,,Brill Studies in Language Contact and Dynamics of Language,Active,,Book Series,,,,,,Brill Academic Publishers
15715183,,Brill Studies in Middle Eastern Literatures,Active,,Book Series,,,,,,Brill Academic Publishers
18712894,,Brill's Arab and Islamic Laws Series,Active,,Book Series,,,,,,Brill Academic Publishers
18723357,,Brill's Companions to Classical Studies,Active,,Book Series,,,,,,Brill Academic Publishers
22127410,,Brill's Companions to European History,Active,,Book Series,,,,,,Brill Academic Publishers
22127429,,Brill's Companions to the Byzantine World,Active,,Book Series,,,,,,Brill Academic Publishers
18716377,,Brill's Companions to the Christian Tradition,Active,,Book Series,,,,,,Brill Academic Publishers
18748023,,Brill's Humanities in China Library,Active,,Book Series,,,,,,Brill Academic Publishers
,9252916,Brill's Indological Library,Active,,Book Series,,,,,,Brill Academic Publishers
15667162,,Brill's Inner Asian Library,Active,,Book Series,,,,,,Brill Academic Publishers
9256512,,Brill's Japanese Studies Library,Active,,Book Series,,,,,,Brill Academic Publishers
18766633,18776930,Brill's Journal of Afroasiatic Languages and Linguistics,Active,,Journal,,,,,,Brill Academic Publishers
15724107,,Brill's Series in Church History,Active,,Book Series,,,,,,Brill Academic Publishers
9262261,,Brill's Series in Jewish Studies,Active,,Book Series,,,,,,Brill Academic Publishers
22127437,,Brill's Series on Chinese Education,Active,,Book Series,,,,,,Brill Academic Publishers
18784879,,Brill's Series on the Early Middle Ages,Active,,Book Series,,,,,,Brill Academic Publishers
22114904,,Brill's Studies in Historical Linguistics,Active,,Book Series,,,,,,Brill Academic Publishers
9208607,,Brill's Studies in Intellectual History,Active,,Book Series,,,,,,Brill Academic Publishers
18795412,18795420,"Brill's Studies in Language, Cognition and Culture",Active,,Book Series,,,,,,Brill Academic Publishers
24054917,,Brill's Studies in Maritime History,Active,,Book Series,,,,,,Brill Academic Publishers
,18789048,"Brill's Studies on Art, Art History, and Intellectual History",Active,,Book Series,,,,,,Brill Academic Publishers
,15686183,Brill's Tibetan Studies Library,Active,,Book Series,,,,,,Brill Academic Publishers
20438567,20438575,Britain and the World,Active,,Journal,,,,,,Edinburgh University Press
0068113X,,Britannia (Society for the Promotion of Roman Studies),Active,,Journal,,,,,,Cambridge University Press
8908389,10958347,British Accounting Review,Active,,Journal,,,,,,Academic Press
13573217,20440456,British Actuarial Journal,Active,,Journal,,,,,,Cambridge University Press
12243086,24577715,British and American Studies,Active,,Journal,,,,,,Diacritic
17439868,25163590,British and Irish Orthoptic Journal,Active,,Journal,Formerly known as,British Orthoptic Journal,,,,White Rose University Press
20557973,20557981,British Catholic History,Active,,Journal,,,,,,Cambridge University Press
70556,,British Columbia Medical Journal,Active,,Journal,,,,,,British Columbia Medical Association
70610,14765373,British Dental Journal,Active,,Journal,Incorporating,The Dental gazette,The Dental magazine and oral topics,,,Nature Publishing Group
1411926,14693518,British Educational Research Journal,Active,,Journal,Formerly known as,Research Intelligence,,,,Routledge
0007070X,,British Food Journal,Active,,Journal,,,,,,Emerald Group Publishing Ltd.
26375451,26375494,British Journal for the History of Mathematics,Active,,Journal,Formerly known as,BSHM Bulletin,,,,Taylor and Francis Ltd.
9608788,,British Journal for the History of Philosophy,Active,,Journal,,,,,,Taylor and Francis Ltd.
70874,1474001X,British Journal for the History of Science,Active,,Journal,,,,,,Cambridge University Press
70882,14643537,British Journal for the Philosophy of Science,Active,,Journal,,,,,,University of Chicago Press
70904,14682842,British Journal of Aesthetics,Active,,Journal,,,,,,Oxford University Press
,20494092,British Journal of American Legal Studies,Active,,Journal,,,,,,De Gruyter Open Ltd.
70912,14716771,British Journal of Anaesthesia,Active,,Journal,,,,,,Elsevier Ltd
9674845,24740896,British Journal of Biomedical Science,Active,,Journal,Formerly known as,Medical Laboratory Sciences,,,,Institute of Biomedical Science (IBMS)
70920,15321827,British Journal of Cancer,Active,,Journal,,,,,,Nature Publishing Group
3065251,13652125,British Journal of Clinical Pharmacology,Active,,Journal,,,,,,Wiley-Blackwell Publishing Ltd
1446657,20448260,British Journal of Clinical Psychology,Active,,Journal,Formerly part of,British Journal of Social and Clinical Psychology,,,,Wiley-Blackwell
14750279,,British Journal of Community Justice,Active,,Journal,,,,,,Sheffield Hallam University
14624753,,British Journal of Community Nursing,Active,,Journal,,,,,,MA Healthcare Ltd
70955,14643529,British Journal of Criminology,Active,,Journal,,,,,,Oxford University Press
70963,13652133,British Journal of Dermatology,Active,,Journal,Formerly known as,The British journal of dermatology and syphilis,,,,Oxford University Press
0261510X,2044835X,British Journal of Developmental Psychology,Active,,Journal,,,,,,Wiley-Blackwell
70998,20448279,British Journal of Educational Psychology,Active,,Journal,,,,,,Wiley-Blackwell
71005,14678527,British Journal of Educational Studies,Active,,Journal,,,,,,Taylor and Francis Ltd.
71013,14678535,British Journal of Educational Technology,Active,,Journal,,,,,,Wiley-Blackwell Publishing Ltd
9601643,14785242,British Journal of General Practice,Active,,Journal,Formerly known as,Journal of the Royal College of General Practitioners,,,,Royal College of General Practitioners
3069885,14693534,British Journal of Guidance and Counselling,Active,,Journal,,,,,,Routledge
71048,13652141,British Journal of Haematology,Active,,Journal,,,,,,John Wiley and Sons Inc.
13580574,,British Journal of Health Care Management,Active,,Journal,,,,,,MA Healthcare Ltd
1359107X,20448287,British Journal of Health Psychology,Active,,Journal,,,,,,Wiley-Blackwell
17508460,17597390,"British journal of hospital medicine (London, England : 2005)",Active,,Journal,Formerly known as,Hospital Medicine,,,,MA Healthcare Ltd
71080,14678543,British Journal of Industrial Relations,Active,,Journal,,,,,,Wiley-Blackwell Publishing Ltd
13544187,14683156,British Journal of Learning Disabilities,Active,,Journal,Formerly known as,Journal of the British Institute of Mental Handicap (APEX),,,,Wiley-Blackwell Publishing Ltd
10453172,14678551,British Journal of Management,Active,,Journal,,,,,,Wiley-Blackwell Publishing Ltd
71102,20448317,British Journal of Mathematical and Statistical Psychology,Active,,Journal,Formerly known as,British Journal of Statistical Psychology,,,,Wiley-Blackwell
17578515,,British Journal of Medical Practitioners,Active,,Journal,,,,,,JMN Medical Education Ltd
13530194,14693542,British Journal of Middle Eastern Studies,Active,,Journal,Formerly known as,"British Society for Middle Eastern Studies, Bulletin",,,,Routledge
9694900,,British Journal of Midwifery,Active,,Journal,,,,,,MA Healthcare Ltd
2650517,14692104,British Journal of Music Education,Active,,Journal,,,,,,Cambridge University Press
2688697,1360046X,British Journal of Neurosurgery,Active,,Journal,,,,,,Informa Healthcare
9660461,20522819,British Journal of Nursing,Active,,Journal,Formerly known as,HIV Nursing,,,,MA Healthcare Ltd
71145,14752662,British Journal of Nutrition,Active,,Journal,,,,,,Cambridge University Press
3080226,14776006,British Journal of Occupational Therapy,Active,,Journal,Formerly known as,OCCUP.THER.,,,,SAGE Publications Inc.
71161,14682079,British Journal of Ophthalmology,Active,,Journal,,,,,,BMJ Publishing Group
2664356,15321940,British Journal of Oral and Maxillofacial Surgery,Active,,Journal,Formerly known as,British Journal of Oral Surgery,,,,Churchill Livingstone
20494637,20494645,British Journal of Pain,Active,,Journal,,,,,,SAGE Publications Ltd
71188,14765381,British Journal of Pharmacology,Active,,Journal,Formerly known as,British journal of pharmacology and chemotherapy,,,,Wiley-Blackwell
71234,14692112,British Journal of Political Science,Active,,Journal,,,,,,Cambridge University Press
13691481,,British Journal of Politics and International Relations,Active,,Journal,,,,,,SAGE Publications Ltd
71250,14721465,British Journal of Psychiatry,Active,,Journal,Formerly known as,The Journal of mental science,,,,Royal College of Psychiatrists
71269,20448295,British Journal of Psychology,Active,,Journal,Formerly known as,British Journal of Psychology. General Section,,,,Wiley-Blackwell
2659883,17520118,British Journal of Psychotherapy,Active,,Journal,,,,,,John Wiley and Sons Inc.
71285,1748880X,British Journal of Radiology,Active,,Journal,,,,,,British Institute of Radiology
1416200,17407931,British Journal of Religious Education,Active,,Journal,Formerly known as,Learning for Living,,,,Routledge
1446665,20448309,British Journal of Social Psychology,Active,,Journal,Formerly part of,British Journal of Social and Clinical Psychology,,,,Wiley-Blackwell
453102,1468263X,British Journal of Social Work,Active,,Journal,Formerly known as,British journal of psychiatric social work,,,,Oxford University Press
71315,14684446,British Journal of Sociology,Active,,Journal,,,,,,Wiley-Blackwell Publishing Ltd
1425692,14653346,British Journal of Sociology of Education,Active,,Journal,,,,,,Taylor and Francis Ltd.
9523383,14678578,British Journal of Special Education,Active,,Journal,Formerly known as,Special Education: Forward Trends,,,,Wiley-Blackwell Publishing Ltd
3063674,14730480,British Journal of Sports Medicine,Active,,Journal,,,,,,BMJ Publishing Group
71323,13652168,British Journal of Surgery,Active,,Journal,Incorporating,"European Journal of Surgery, Acta Chirurgica",,,,Oxford University Press
2646196,17445809,British Journal of Visual Impairment,Active,,Journal,,,,,,SAGE Publications Inc.
71420,14718391,British Medical Bulletin,Active,,Journal,,,,,,Oxford University Press
3076164,,British Plastics and Rubber,Active,,Trade Journal,,,,,,MCM Publishing Ltd.
1746918X,17469198,British Politics,Active,,Journal,,,,,,Palgrave Macmillan Ltd.
71668,14661799,British Poultry Science,Active,,Journal,,,,,,Taylor and Francis Ltd.
71870,,British Tax Review,Active,,Journal,,,,,,Thomson Reuters
0007196X,1938436X,Brittonia,Active,,Journal,,,,,,Springer New York
5246881,18050867,Brno Studies in English,Active,,Journal,,,,,,Masaryk University
0007215X,18455859,Brodogradnja,Active,,Journal,,,,,,University of Zagreb Faculty of Mechanical Engineering and Naval Architecture
14748932,17458226,Bronte Studies,Active,,Journal,,,,,,Maney Publishing
72303,15334465,Brookings Papers on Economic Activity,Active,,Journal,,,,,,Brookings Institution Press
23409436,23409444,BRQ Business Research Quarterly,Active,,Journal,Formerly known as,Cuadernos de Economia y Direccion de la Empresa,,,,Elsevier B.V.
18422691,,Brukenthal. Acta Musei,Active,,Journal,,,,,,Brukenthal National Museum
,20147910,Brumal,Active,,Journal,,,,,,Universitat Autonoma de Barcelona
15605876,20793146,Brunei International Medical Journal,Active,,Journal,,,,,,Ministry of Health and Universiti Brunei Darussalem
11253819,17240441,Bruniana e Campanelliana,Active,,Journal,,,,,,Fabrizio Serra Editore Srl
,22402829,Bruno Pini Mathematical Analysis Seminar,Active,,Book Series,,,,,,"University of Bologna, Department of Mathematics"
,20310293,Brussels Studies,Active,,Journal,,,,,,Universite Saint-Louis Bruxelles
72745,,Bryologist,Active,,Journal,,,,,,American Bryological and Lichenological Society Inc.
18889751,25306359,BSAA Arte,Active,,Journal,,,,,,Ediciones Universidad de Valladolid
379409,17775817,BSGF - Earth Sciences Bulletin,Active,,Journal,,,,,,Societe Geologique de France
5838622,7707576,BSGLg,Active,,Journal,,,,,,Societe Geographique de Liege
2652897,17479681,Buddhist Studies Review,Active,,Journal,,,,,,Equinox Publishing Ltd
8820945,15279472,Buddhist-Christian Studies,Active,,Journal,,,,,,University of Hawaii Press
18990665,25443275,Budownictwo i Architektura,Active,,Journal,,,,,,Politechnika Lubelska
1256726,,Buffalo Bulletin,Active,,Journal,,,,,,Kasetsart University
239356,,Buffalo Law Review,Active,,Journal,,,,,,State University of New York at Buffalo Law School
1351010X,20598025,Building Acoustics,Active,,Journal,,,,,,SAGE Publications Inc.
3601323,,Building and Environment,Active,,Journal,Formerly known as,Building Science,,,,Elsevier B.V.
19360886,19346832,Building and Landscapes,Active,,Journal,,,,,,University of Minnesota Press
9698213,,Building Engineer,Active,,Journal,,,,,,Chartered Association of Building Engineers
9613218,14664321,Building Research and Information,Active,,Journal,Formerly known as,Batiment International/Building Research & Practice,,,,Taylor and Francis Ltd.
1436244,14770849,Building Services Engineering Research and Technology,Active,,Journal,,,,,,SAGE Publications Inc.
19963599,19968744,Building Simulation,Active,,Journal,,,,,,Tsinghua University
,20755309,Buildings,Active,,Journal,,,,,,Multidisciplinary Digital Publishing Institute (MDPI)
,26326655,Buildings and Cities,Active,,Journal,,,,,,Web Portal Ubiquity Press
2637960,,Built Environment,Active,,Journal,,,,,,Alexandrine Press
